n,mean_predicted,observed_rate
116,0.09412062669606316,0.02586206896551724
116,0.15798294010252462,0.07758620689655173
116,0.2091350397979957,0.11206896551724138
115,0.2585903445043131,0.13043478260869565
116,0.31780416332373146,0.19827586206896552
116,0.40280555915653443,0.21551724137931033
115,0.4787518313005885,0.2956521739130435
116,0.5660502855560203,0.4051724137931034
116,0.6542608337056102,0.5
116,0.7559751074841077,0.5258620689655172
