outcome,outcome_label,feature_set,feature_set_label,model,n_evaluations,n_total,n_groups_total,target_positive,target_negative,features,accuracy_mean,accuracy_std,accuracy_median,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,macro_f1_mean,macro_f1_std,macro_f1_median,weighted_f1_mean,weighted_f1_std,weighted_f1_median,sensitivity_mean,sensitivity_std,sensitivity_median,specificity_mean,specificity_std,specificity_median,ppv_mean,ppv_std,ppv_median,npv_mean,npv_std,npv_median,roc_auc_mean,roc_auc_std,roc_auc_median,pr_auc_mean,pr_auc_std,pr_auc_median,brier_mean,brier_std,brier_median,test_group_overlap_fraction_mean,test_group_overlap_fraction_std,test_group_overlap_fraction_median
death_after_fall_next_year,Death after fall in next year,functional_no_availability,Functional values without explicit assessment-availability indicators,random_forest_balanced,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T"", ""TINETTI_LAST_T"", ""BERG_LAST_T""]",0.9093357873485084,0.017391779493829928,0.9134199134199135,0.5286932018731936,0.030587167301818655,0.5288018433179723,0.5299098048253095,0.03561951982182495,0.5375375375375375,0.8988960462322955,0.010197868812618643,0.9013860934737403,0.09314285714285714,0.07057800453478312,0.07142857142857142,0.9642435466035298,0.020571880314699302,0.9675925925925926,0.15518894438894437,0.11668877201416748,0.16666666666666666,0.9405309422285917,0.004355579686029909,0.9414414414414415,0.5765753238938903,0.05141635254573071,0.5788347597103357,0.12118963215422543,0.035892073819299694,0.1060470225063832,0.09619598835676896,0.008875025555667836,0.09421318305904572,0.0,0.0,0.0
fall_next_year,Any fall in next year,functional_lcf,"Core variables plus latest prior Tinetti/Berg, imputed when missing",random_forest_balanced,25,1158,242,472,686,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T"", ""TINETTI_LAST_T"", ""BERG_LAST_T"", ""HAS_FUNCTIONAL_T"", ""YEARS_SINCE_FUNCTIONAL_T""]",0.6895176250763357,0.03064246686375799,0.6855895196506551,0.6873577029904432,0.032899554964924554,0.6849895083932853,0.6831585749419604,0.03165791090993089,0.6817971283001389,0.6913218930452588,0.030470526481867353,0.6880166501149853,0.6758876371643967,0.053606370297181884,0.6736842105263158,0.6988277688164898,0.031746783961346725,0.697841726618705,0.6070341380980251,0.034147845516033636,0.603448275862069,0.7589718686389589,0.0327959138919956,0.753968253968254,0.7484197891737193,0.03067711227300409,0.7436198409693298,0.6410438547342346,0.036527196035001874,0.6399775909694307,0.20190499796601474,0.010657638844537775,0.2040013985988312,0.0,0.0,0.0
high_burden_fall_next_year,Four or more falls in next year,core_history_with_ayuda,Core variables plus habitual aid,random_forest_balanced,25,1158,242,134,1024,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T""]",0.8388827847627225,0.025091485101554994,0.8347826086956521,0.6876320417835231,0.04223198891502503,0.6968383017163505,0.6603240919003278,0.03776647786390487,0.6526041666666667,0.8494659086841106,0.020176932159403055,0.8491835433201679,0.4908831908831909,0.08439112893591091,0.48148148148148145,0.8843808926838554,0.027667102464538466,0.8823529411764706,0.36245743313026574,0.06582211226058336,0.35,0.9300637253509221,0.010839087633681226,0.9303482587064676,0.7641428280464279,0.04271047643674337,0.7672990063233965,0.3529306067843853,0.06251942133595731,0.3604620830616587,0.12689266227058463,0.010232399775381262,0.1265430443046101,0.0,0.0,0.0
recurrent_fall_next_year,Two or more falls in next year,functional_no_ayuda,Functional latest-carried-forward set excluding habitual aid,random_forest_balanced,25,1158,242,288,870,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""TINETTI_LAST_T"", ""BERG_LAST_T"", ""HAS_FUNCTIONAL_T"", ""YEARS_SINCE_FUNCTIONAL_T""]",0.7265733290038051,0.034899589920169484,0.7292576419213974,0.6880420951724592,0.0436256074132815,0.6932019704433497,0.6669549171670708,0.04027953573293862,0.6715005035246727,0.7376221499573843,0.0324111444455978,0.7408805846937143,0.6114760894052782,0.07463039998147933,0.6206896551724138,0.7646081009396403,0.036337893693796225,0.7670454545454546,0.46376342027655004,0.05358488916068782,0.4675324675324675,0.8563970846340793,0.02470180460498325,0.8589743589743589,0.7530000373863028,0.03805016289917163,0.755431532788519,0.47833236708372184,0.0635063824066962,0.48569906580064953,0.1823829500046975,0.012267257015230406,0.1809078582775748,0.0,0.0,0.0
