outcome,outcome_label,feature_set,feature_set_label,model,repeat,fold,status,error,n_total,n_train,n_test,n_groups_total,n_groups_test,test_group_overlap_fraction,target_positive,target_negative,test_positive,test_negative,features,accuracy,balanced_accuracy,macro_f1,weighted_f1,sensitivity,specificity,ppv,npv,brier,prevalence,roc_auc,pr_auc
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,0,2,ok,,1158,928,230,242,43,0.0,472,686,93,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6739130434782609,0.6779295188760694,0.6700143472022956,0.6768760526479946,0.6989247311827957,0.656934306569343,0.5803571428571429,0.7627118644067796,0.20601003932274747,0.4043478260869565,0.7387567694843419,0.6180380160152403
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,0,2,ok,,1158,928,230,242,43,0.0,472,686,93,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6608695652173913,0.6376265599246527,0.6394984326018809,0.6562900367997819,0.5161290322580645,0.7591240875912408,0.5925925925925926,0.697986577181208,0.21947072917172933,0.4043478260869565,0.6934306569343066,0.568445937827193
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,0,3,ok,,1158,926,232,242,46,0.0,472,686,95,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.45689655172413796,0.43849404533230885,0.43849404533230885,0.45689655172413796,0.3368421052631579,0.5401459854014599,0.3368421052631579,0.5401459854014599,0.5431034482758621,0.40948275862068967,0.43849404533230885,0.3850143280160474
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,0,3,ok,,1158,926,232,242,46,0.0,472,686,95,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6896551724137931,0.682366500192086,0.6810996563573883,0.6905557530513093,0.6421052631578947,0.7226277372262774,0.6161616161616161,0.7443609022556391,0.22232987214535055,0.40948275862068967,0.6729158663081061,0.5780709394088519
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,0,3,ok,,1158,926,232,242,46,0.0,472,686,95,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6853448275862069,0.6819439108720706,0.6788470655162605,0.6871169445143741,0.6631578947368421,0.7007299270072993,0.6057692307692307,0.75,0.20982844901791203,0.40948275862068967,0.7189396849788706,0.5901858839006412
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,0,3,ok,,1158,926,232,242,46,0.0,472,686,95,137,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6551724137931034,0.6321936227429888,0.6338383838383839,0.6498389063044235,0.5052631578947369,0.7591240875912408,0.5925925925925926,0.6887417218543046,0.21444908363620657,0.40948275862068967,0.7137917787168652,0.5965512226766025
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,0,4,ok,,1158,927,231,242,48,0.0,472,686,95,136,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.4805194805194805,0.46362229102167185,0.46362229102167185,0.4805194805194805,0.3684210526315789,0.5588235294117647,0.3684210526315789,0.5588235294117647,0.5194805194805194,0.41125541125541126,0.46362229102167185,0.39547433176242036
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,0,4,ok,,1158,927,231,242,48,0.0,472,686,95,136,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.7186147186147186,0.7102554179566563,0.7099167326751802,0.7188321682632071,0.6631578947368421,0.7573529411764706,0.65625,0.762962962962963,0.20333446487253884,0.41125541125541126,0.7578173374613003,0.6368241523036298
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,0,4,ok,,1158,927,231,242,48,0.0,472,686,95,136,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6926406926406926,0.6881965944272446,0.6858346901637774,0.6940419284447634,0.6631578947368421,0.7132352941176471,0.6176470588235294,0.751937984496124,0.18927475091362334,0.41125541125541126,0.7809597523219813,0.7008634853151081
fall_next_year,Any fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,0,4,ok,,1158,927,231,242,48,0.0,472,686,95,136,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.7012987012987013,0.689202786377709,0.6900534759358289,0.7005319813875964,0.6210526315789474,0.7573529411764706,0.6413043478260869,0.7410071942446043,0.1975928896766197,0.41125541125541126,0.7630030959752322,0.633483954970403
