threshold,model,treat_all,treat_none
0.05,0.2083901463503318,0.20916280338151078,0.0
0.07500000000000001,0.18895579517341177,0.18778882509452458,0.0
0.1,0.16925734024179617,0.1652274035693725,0.0
0.125,0.15247964470762398,0.14137675795706883,0.0
0.15000000000000002,0.13532459615970738,0.11612313319110024,0.0
0.175,0.11948500549536817,0.08933898571204268,0.0
0.2,0.10060449050086356,0.060880829015544036,0.0
0.22500000000000003,0.08880717588723602,0.030586662209593773,0.0
0.25,0.07656879677605066,-0.0017271157167529916,0.0
0.275,0.06357572509082246,-0.03626943005181349,0.0
0.3,0.058228472736244735,-0.07327905255366396,0.0
0.325,0.039947546856009736,-0.11303012857417,0.0
0.35000000000000003,0.028098844161020292,-0.15583897967317661,0.0
0.375,0.012780656303972376,-0.20207253886010362,0.0
0.4,-0.00028785261945885043,-0.2521588946459413,0.0
0.425,-0.0029661335135541256,-0.30660058571750404,0.0
0.45,-0.01232532579682838,-0.3659915214319359,0.0
0.47500000000000003,-0.01760013158976892,-0.4310387367382188,0.0
0.5,-0.021588946459412783,-0.5025906735751295,0.0
0.525,-0.029315516771202615,-0.5816743932369786,0.0
0.55,-0.022260602571483462,-0.6695451928612552,0.0
0.5750000000000001,-0.03855531850045722,-0.7677537336177997,0.0
0.6000000000000001,-0.045768566493955165,-0.8782383419689124,0.0
0.6250000000000001,-0.05785837651122633,-1.0034542314335066,0.0
0.6500000000000001,-0.061435973353071896,-1.1465581051073288,0.0
0.675,-0.050086355785837686,-1.3116779593463537,0.0
0.7000000000000001,-0.0595854922279793,-1.504317789291883,0.0
0.7250000000000001,-0.05448265033757266,-1.7319830428638727,0.0
0.7500000000000001,-0.04231433506044909,-2.0051813471502604,0.0
0.7750000000000001,-0.0362694300518135,-2.339090385722512,0.0
0.8,-0.021588946459412787,-2.7564766839378247,0.0
