feature,importance_mean,importance_std
FALL_T,0.021827012025901916,0.014088296857533269
FALLS_PREV_2Y_T,0.017783687943262374,0.00796659924710029
HAS_FUNCTIONAL_T,0.01660191181005239,0.0055877115364483835
FALLS_PREV_3Y_T,0.016258865248226916,0.006698257589023235
AYUDA_HABITUAL_T,0.01000231267345047,0.005078407453323063
OBSERVED_YEARS_T,0.005679155103299373,0.006642562023497424
NUM_CAIDA_T,0.002374344742522334,0.006458968443052719
YEARS_SINCE_FUNCTIONAL_T,0.0009235275979031554,0.0010076865488052602
TINETTI_LAST_T,0.0008718778908417701,0.0014096960410406021
EDAD_T,0.0008687943262411135,0.00866887993411577
EVER_FALLEN_T,-0.00011871723712615578,0.0050521422981358605
TPO_INSTIT_T,-0.0010800185013876361,0.005869512214588679
BERG_LAST_T,-0.001348288621646656,0.0014171296437709717
MEAN_FALLS_OBSERVED_T,-0.0027543940795559997,0.003314143540160874
CAIDAS_ACUM_T,-0.0047841504779525534,0.0029984657331654525
SEXO,-0.013805118717237164,0.006829140001464202
