outcome,outcome_label,feature_set,feature_set_label,model,n_evaluations,n_total,n_groups_total,target_positive,target_negative,features,accuracy_mean,accuracy_std,accuracy_median,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,macro_f1_mean,macro_f1_std,macro_f1_median,weighted_f1_mean,weighted_f1_std,weighted_f1_median,sensitivity_mean,sensitivity_std,sensitivity_median,specificity_mean,specificity_std,specificity_median,ppv_mean,ppv_std,ppv_median,npv_mean,npv_std,npv_median,roc_auc_mean,roc_auc_std,roc_auc_median,pr_auc_mean,pr_auc_std,pr_auc_median,brier_mean,brier_std,brier_median,test_group_overlap_fraction_mean,test_group_overlap_fraction_std,test_group_overlap_fraction_median
death_after_fall_next_year,Death after fall in next year,core_history,Core demographic and fall-history variables,dummy_stratified,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.8903238595851731,0.00565032518651414,0.8917748917748918,0.5006049415784788,0.023694128749414296,0.5079877112135177,0.5005133119291434,0.02540515766958382,0.5083014048531289,0.8861471344620481,0.005871258612534129,0.8866246701210798,0.05466666666666667,0.044141256113840184,0.06666666666666667,0.9465432164902908,0.003991185345173225,0.9447004608294931,0.06487179487179487,0.05248065087017478,0.07692307692307693,0.9370488069617546,0.003379923219653253,0.9363636363636364,0.5006049415784788,0.023694128749414296,0.5079877112135177,0.06533976283250788,0.004863559004700876,0.06493506493506493,0.10967614041482687,0.005650325186514115,0.10822510822510822,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history,Core demographic and fall-history variables,gradient_boosting,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.923153624180051,0.011554007624053024,0.9264069264069265,0.4938665256415462,0.008093798696793619,0.49537037037037035,0.48190355010585284,0.009716340704298146,0.4809843400447427,0.8997366336621055,0.007085984897734363,0.9019396551724138,0.0026666666666666666,0.01333333333333333,0.0,0.9850663846164258,0.011397228818252976,0.9907407407407407,0.006666666666666666,0.03333333333333333,0.0,0.9362189845714565,0.0024273642601531746,0.9353448275862069,0.5769921116585323,0.0657221859805947,0.5709876543209876,0.10372638612690759,0.028484576195696363,0.09026074794436682,0.06705579718459606,0.007617472900864625,0.06501582428541182,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history,Core demographic and fall-history variables,logistic_balanced,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.6387299947651724,0.04348132077255338,0.6437768240343348,0.6004355833238578,0.05678048496246619,0.6037037037037036,0.46518088974128086,0.02399035831217975,0.4620006324443976,0.7303465932373763,0.033352515379569486,0.733452825158886,0.5565714285714286,0.1310772853095145,0.5714285714285714,0.6442997380762869,0.05038277081480156,0.6451612903225806,0.09490024924166746,0.01788959144389297,0.09411764705882353,0.9560300816192294,0.01133615738770943,0.9574468085106383,0.6297111479521882,0.06659079250500478,0.6294930875576037,0.11911751237613476,0.03481367933123006,0.11635526818873478,0.21516894096195313,0.01778974085592747,0.21213448159845189,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history,Core demographic and fall-history variables,random_forest_balanced,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T""]",0.8906620468819155,0.018199927037867304,0.8917748917748918,0.5137681756886515,0.02904561085778948,0.5125000000000001,0.5119802065104944,0.029931377328445547,0.5136842105263157,0.8875531448718894,0.010189999682123271,0.89100568226045,0.08247619047619047,0.06587856163306866,0.06666666666666667,0.9450601609011124,0.02146591819511238,0.9493087557603687,0.09076561501793699,0.07037259769830445,0.1,0.9387099098252808,0.004344053864478904,0.9385964912280702,0.5767990700573842,0.0584088144262059,0.5872284397630019,0.10248912786074352,0.028510616851305345,0.10305902121835461,0.1085982908096428,0.010413840380020096,0.10748518718197674,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history_with_ayuda,Core variables plus habitual aid,dummy_stratified,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T""]",0.8903238595851731,0.00565032518651414,0.8917748917748918,0.5006049415784788,0.023694128749414296,0.5079877112135177,0.5005133119291434,0.02540515766958382,0.5083014048531289,0.8861471344620481,0.005871258612534129,0.8866246701210798,0.05466666666666667,0.044141256113840184,0.06666666666666667,0.9465432164902908,0.003991185345173225,0.9447004608294931,0.06487179487179487,0.05248065087017478,0.07692307692307693,0.9370488069617546,0.003379923219653253,0.9363636363636364,0.5006049415784788,0.023694128749414296,0.5079877112135177,0.06533976283250788,0.004863559004700876,0.06493506493506493,0.10967614041482687,0.005650325186514115,0.10822510822510822,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history_with_ayuda,Core variables plus habitual aid,gradient_boosting,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T""]",0.9247053675380692,0.010300419593622908,0.9264069264069265,0.4997563650010512,0.014916961407918285,0.4954128440366973,0.49122003569244255,0.022834910755944935,0.4820627802690583,0.9016382706959878,0.007188433628884298,0.9023557463042442,0.013523809523809525,0.027619047619047623,0.0,0.9859889204782928,0.009917195806123038,0.9861751152073732,0.064,0.1468559384794046,0.0,0.9369347141246339,0.0026439741064254963,0.9383259911894273,0.5675966724102699,0.06706469904006114,0.5638888888888889,0.10491606410578402,0.03343106593326809,0.0976292955627526,0.0668258056313159,0.007616366192026204,0.06549958898814108,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history_with_ayuda,Core variables plus habitual aid,logistic_balanced,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T""]",0.6589495140395912,0.04283565533386895,0.6566523605150214,0.5983291628541987,0.05430496439808982,0.6060185185185185,0.47367839184652666,0.02246166418691814,0.4773626373626374,0.7455663979080518,0.031689358518839555,0.7441629408842524,0.528952380952381,0.12890843545583217,0.5333333333333333,0.6677059447560163,0.050140380456078354,0.6589861751152074,0.09639092500324146,0.017442507490242315,0.09803921568627451,0.9550096134520153,0.01059336066200326,0.9567901234567902,0.6185003953269361,0.06751429736401232,0.6109282422646477,0.1148631284490935,0.035685482235931355,0.10921772226630184,0.21123575813156356,0.017215580972169655,0.21031632840839423,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,core_history_with_ayuda,Core variables plus habitual aid,random_forest_balanced,25,1158,242,73,1085,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T""]",0.9006986388083479,0.01962179596470347,0.908695652173913,0.5037474773468239,0.02332934336077343,0.5057603686635945,0.5015556583054744,0.02792338707616163,0.5057603686635945,0.8912453745070762,0.01129646234905164,0.8964267866066966,0.049523809523809526,0.05033898693301423,0.06666666666666667,0.9579711451698381,0.021705668514278048,0.9629629629629629,0.06894653299916458,0.07073631718843046,0.07142857142857142,0.9374199138685205,0.0037759292218333797,0.9377777777777778,0.5716845750388727,0.056205427062768334,0.583179012345679,0.10258807059110815,0.02835260491539411,0.09547024260173272,0.10484043992132962,0.010143639219798137,0.10349216099275355,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,functional_complete_case,Functional complete-case subset,dummy_stratified,25,203,74,26,177,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T"", ""TINETTI_LAST_T"", ""BERG_LAST_T"", ""YEARS_SINCE_FUNCTIONAL_T""]",0.799850158979484,0.03977409179782067,0.7804878048780488,0.5035181375537412,0.08747930835885999,0.4444444444444444,0.5035282906431435,0.09770559372738537,0.4383561643835616,0.7890991292200108,0.04200408442030243,0.769796191112596,0.10533333333333333,0.151131534567544,0.0,0.9017029417741491,0.02413575435633348,0.8888888888888888,0.14,0.20514222708485283,0.0,0.872948992370045,0.022439713151969323,0.8648648648648649,0.5035181375537412,0.08747930835885996,0.4444444444444444,0.15873073633368587,0.07279992268601596,0.1282051282051282,0.200149841020516,0.039774091797820654,0.21951219512195122,0.0,0.0,0.0
death_after_fall_next_year,Death after fall in next year,functional_complete_case,Functional complete-case subset,gradient_boosting,25,203,74,26,177,"[""SEXO"", ""EDAD_T"", ""TPO_INSTIT_T"", ""NUM_CAIDA_T"", ""FALL_T"", ""FALLS_PREV_2Y_T"", ""FALLS_PREV_3Y_T"", ""CAIDAS_ACUM_T"", ""EVER_FALLEN_T"", ""OBSERVED_YEARS_T"", ""MEAN_FALLS_OBSERVED_T"", ""AYUDA_HABITUAL_T"", ""TINETTI_LAST_T"", ""BERG_LAST_T"", ""YEARS_SINCE_FUNCTIONAL_T""]",0.8069360293705161,0.04508915553034479,0.8205128205128205,0.48962734007780445,0.060208713174929034,0.4857142857142857,0.47518417850055733,0.056735609835053886,0.4533333333333333,0.7846349548432656,0.02905966094720836,0.78515625,0.06266666666666666,0.13686976778431872,0.0,0.9165880134889423,0.0590612911098092,0.9411764705882353,0.0669090909090909,0.13406285730661324,0.0,0.8696986639719638,0.01921021872009944,0.8648648648648649,0.45579941985328987,0.1255507295872799,0.4647058823529412,0.16889713087501945,0.06335787252925625,0.15555330634278003,0.16819327070959975,0.03362705420078929,0.1624704940527196,0.0,0.0,0.0
