feature_set,feature_set_label,model,n_total,target_positive,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,sensitivity_mean,specificity_mean,ppv_mean,roc_auc_mean,pr_auc_mean,brier_mean
functional_lcf,"Core variables plus latest prior Tinetti/Berg, imputed when missing",random_forest_balanced,1158,472,0.6831585749419604,0.0316579109099308,0.6873577029904432,0.6758876371643967,0.6988277688164898,0.6070341380980251,0.7484197891737193,0.6410438547342346,0.2019049979660147
functional_no_ayuda,Functional latest-carried-forward set excluding habitual aid,random_forest_balanced,1158,472,0.6755427297708944,0.0332920843349038,0.6805917872797355,0.6772361120369504,0.6839474625225205,0.5957501276328956,0.7457518921174393,0.6360898072678051,0.2031649696710322
functional_no_availability,Functional values without explicit assessment-availability indicators,random_forest_balanced,1158,472,0.6790813820556331,0.0320917716696559,0.682213430417457,0.6597933854538489,0.7046334753810649,0.6061127739697973,0.7487245382497366,0.6429168956557583,0.2022853832692935
core_history,Core demographic and fall-history variables,logistic_balanced,1158,472,0.6723611692945933,0.0300537998402327,0.6727131166409402,0.613633963516508,0.7317922697653727,0.6113329030374511,0.6901184471830837,0.5799562015791312,0.221542044765032
