threshold,model,treat_all,treat_none
0.05,0.07135714935005907,0.06917552949731842,0.0
0.07500000000000001,0.049409513140083086,0.04401811137562432,0.0
0.1,0.03348685473037803,0.017463058913836108,0.0
0.125,0.01961509992598076,-0.010609425117197133,0.0
0.15000000000000002,0.005486132276744854,-0.04033323173829119,0.0
0.175,-0.007457999685978975,-0.07185848118490605,0.0
0.2,-0.021588946459412783,-0.10535405872193436,0.0
0.22500000000000003,-0.027299571006741352,-0.14101064126135165,0.0
0.25,-0.03281519861830741,-0.17904432930339664,0.0
0.275,-0.04320767077601097,-0.21970103031385863,0.0
0.3,-0.0462620281273131,-0.2632617813964965,0.0
0.325,-0.0504061920296808,-0.3100492547815518,0.0
0.35000000000000003,-0.04669855187989905,-0.36043576458084237,0.0
0.375,-0.04248704663212434,-0.414853195164076,0.0
0.4,-0.04260218767990791,-0.4738054116292459,0.0
0.425,-0.03645716002102575,-0.5378839077870391,0.0
0.45,-0.03524886167373213,-0.607787721777359,0.0
0.47500000000000003,-0.03713298791019,-0.6843490418619953,0.0
0.5,-0.03713298791018998,-0.7685664939550949,0.0
0.525,-0.045541314425961286,-0.8616489410053632,0.0
0.55,-0.04471310688927272,-0.9650738821723279,0.0
0.5750000000000001,-0.04825764502692271,-1.0806664634765826,0.0
0.6000000000000001,-0.04404145077720211,-1.2107081174438692,0.0
0.6250000000000001,-0.046919976971790484,-1.358088658606794,0.0
0.6500000000000001,-0.04330125832716512,-1.5265235627929938,0.0
0.675,-0.038793676099375604,-1.720871529161685,0.0
0.7000000000000001,-0.03684513529073116,-1.9476108232584919,0.0
0.7250000000000001,-0.04223582980059666,-2.2155754435547195,0.0
0.7500000000000001,-0.042314335060449085,-2.5371329879101916,0.0
0.7750000000000001,-0.03348685473037808,-2.9301477643446576,0.0
0.8,-0.01640759930915372,-3.4214162348877384,0.0
