threshold,model,treat_all,treat_none
0.05,0.20920825379510954,0.20916280338151078,0.0
0.07500000000000001,0.188115576716613,0.18778882509452458,0.0
0.1,0.16839378238341968,0.1652274035693725,0.0
0.125,0.15136935603256846,0.14137675795706883,0.0
0.15000000000000002,0.13877882759321342,0.11612313319110024,0.0
0.175,0.11956351075522059,0.08933898571204268,0.0
0.2,0.10038860103626943,0.060880829015544036,0.0
0.22500000000000003,0.08827789849016654,0.030586662209593773,0.0
0.25,0.07484168105929764,-0.0017271157167529916,0.0
0.275,0.06119349651599068,-0.03626943005181349,0.0
0.3,0.05156674068591166,-0.07327905255366396,0.0
0.325,0.04327384379197852,-0.11303012857417,0.0
0.35000000000000003,0.02829812674372259,-0.15583897967317661,0.0
0.375,0.01139896373056995,-0.20207253886010362,0.0
0.4,0.0017271157167529916,-0.2521588946459413,0.0
0.425,-0.006570548922429975,-0.30660058571750404,0.0
0.45,-0.017035641387973005,-0.3659915214319359,0.0
0.47500000000000003,-0.020643144995476648,-0.4310387367382188,0.0
0.5,-0.021588946459412783,-0.5025906735751295,0.0
0.525,-0.02740659940005455,-0.5816743932369786,0.0
0.55,-0.03924390711955483,-0.6695451928612552,0.0
0.5750000000000001,-0.0416031697653155,-0.7677537336177997,0.0
0.6000000000000001,-0.06088082901554412,-0.8782383419689124,0.0
0.6250000000000001,-0.06102475532527353,-1.0034542314335066,0.0
0.6500000000000001,-0.06118924253639289,-1.1465581051073288,0.0
0.675,-0.05659625348744525,-1.3116779593463537,0.0
0.7000000000000001,-0.06505469199769723,-1.504317789291883,0.0
0.7250000000000001,-0.05440414507772025,-1.7319830428638727,0.0
0.7500000000000001,-0.04145077720207258,-2.0051813471502604,0.0
0.7750000000000001,-0.04346574553828444,-2.339090385722512,0.0
0.8,-0.03713298791018999,-2.7564766839378247,0.0
