threshold,model,treat_all,treat_none
0.05,0.01408962821561676,0.013726024906826645,0.0
0.07500000000000001,-0.01187975540307147,-0.012930028474069932,0.0
0.1,-0.0346382652082134,-0.04106697370946076,0.0
0.125,-0.05132000986923266,-0.07081174438687392,0.0
0.15000000000000002,-0.06756070303769178,-0.10230620745707612,0.0
0.175,-0.06850892343120324,-0.13570942586486628,0.0
0.2,-0.06973229706390328,-0.17120034542314333,0.0
0.22500000000000003,-0.07164744554014155,-0.2089810017271158,0.0
0.25,-0.07397812320092112,-0.24928036845135287,0.0
0.275,-0.0709308558156155,-0.2923590018462272,0.0
0.3,-0.06760424377004688,-0.33851468048359246,0.0
0.325,-0.06665387321691293,-0.38808929827928096,0.0
0.35000000000000003,-0.05898764447987247,-0.44147734821309953,0.0
0.375,-0.05164075993091537,-0.4991364421416235,0.0
0.4,-0.0480713874496258,-0.5616004605641911,0.0
0.425,-0.04539310655553053,-0.6294961327626342,0.0
0.45,-0.03407128277594598,-0.7035641387972993,0.0
0.47500000000000003,-0.0275516078624887,-0.78468624064479,0.0
0.5,-0.024179620034542316,-0.8739205526770293,0.0
0.525,-0.02145259521861649,-0.9725479501863467,0.0
0.55,-0.01640759930915372,-1.0821339474189218,0.0
0.5750000000000001,-0.007924413288631516,-1.2046124149141524,0.0
0.6000000000000001,-0.0073402417962003495,-1.3424006908462873,0.0
0.6250000000000001,-0.004893494530800233,-1.4985607369027065,0.0
0.6500000000000001,-0.004811250925240566,-1.6770293609671858,0.0
0.675,-0.0017935432443204468,-1.8829546964261996,0.0
0.7000000000000001,-0.00201496833621186,-2.1232009211283827,0.0
0.7250000000000001,0.0,-2.4071282775946,0.0
0.7500000000000001,0.0,-2.7478411053540603,0.0
0.7750000000000001,0.0,-3.1642678948378453,0.0
0.8,0.0,-3.684801381692574,0.0
