threshold,model,treat_all,treat_none
0.05,0.37642032542496134,0.37642032542496134,0.0
0.07500000000000001,0.3599169117303832,0.3595668207067171,0.0
0.1,0.34273651890232204,0.34177701017079254,0.0
0.125,0.32593140883296323,0.3229706390328152,0.0
0.15000000000000002,0.3106268414101392,0.30305801076907446,0.0
0.175,0.2959124928036845,0.2819385565499555,0.0
0.2,0.2778497409326425,0.2594991364421416,0.0
0.22500000000000003,0.2619087414340632,0.23561201181124292,0.0
0.25,0.2484168105929764,0.21013241220495107,0.0
0.275,0.23265439818950626,0.18289559883270798,0.0
0.3,0.21255859856896128,0.15371329879101897,0.0
0.325,0.19813855306083286,0.12236934689439011,0.0
0.35000000000000003,0.1838713963066294,0.0886143217749435,0.0
0.375,0.17046632124352334,0.05215889464594131,0.0
0.4,0.16033390903857225,0.012665515256188808,0.0
0.425,0.1425996846136517,-0.030262071037020388,0.0
0.45,0.12670748940178994,-0.07709216517506667,0.0
0.47500000000000003,0.10934287359157821,-0.12838226827864146,0.0
0.5,0.0941278065630397,-0.18480138169257337,0.0
0.525,0.08412871557131169,-0.24715934915007726,0.0
0.55,0.0729226635962387,-0.3164459796584151,0.0
0.5750000000000001,0.061668190592299055,-0.39388397846185125,0.0
0.6000000000000001,0.04231433506044896,-0.48100172711571715,0.0
0.6250000000000001,0.014680483592400595,-0.5797351755900984,0.0
0.6500000000000001,0.009005674808783531,-0.6925734024179626,0.0
0.675,0.006111332536202968,-0.8227713564501131,0.0
0.7000000000000001,0.010650546919976939,-0.9746689694876225,0.0
0.7250000000000001,0.008792589103469889,-1.154184330350134,0.0
0.7500000000000001,-0.0008635578583765513,-1.3696027633851477,0.0
0.7750000000000001,-0.018518518518518566,-1.632891959316831,0.0
0.8,-0.015544041450777209,-1.9620034542314337,0.0
